2018-07-02,ashie,mozilla,info,https://reviewboard.mozilla.org/r/249224/diff/4
2018-07-03,kenhys,kytea,report,https://github.com/neubig/kytea/issues/22
2018-07-04,fujimotos,zulip/zulip,help,https://github.com/zulip/zulip/issues/9883
2018-07-04,fujimotos,zulip/zulip,report,https://github.com/zulip/zulip/issues/9883
2018-07-05,cosmo0920,algas/fluent-plugin-retag,patch,https://github.com/algas/fluent-plugin-retag/pull/7
2018-07-05,cosmo0920,rust-lang-nursery/rustup.rs,report,https://github.com/rust-lang-nursery/rustup.rs/issues/1456
2018-07-05,fujimotos,fluent/fluentd,patch,https://github.com/fluent/fluentd/pull/2055
2018-07-05,okkez,fluent/fluentd,patch,https://github.com/fluent/fluentd/pull/2054
2018-07-06,fujimotos,fluent/fluentd,patch,https://github.com/fluent/fluentd/pull/2060
2018-07-06,kenhys,constant,report,https://osdn.net/projects/perldocjp/ticket/38380
2018-07-09,kou,gitlab-org/gitlab-ce,help,https://gitlab.com/gitlab-org/gitlab-ce/issues/47670#note_86640971
