2018-10-05,cosmo0920,uken/fluent-plugin-elasticsearch,help,https://github.com/uken/fluent-plugin-elasticsearch/issues/478
2018-10-05,fujimotos,fluent/fluentd,patch,https://github.com/fluent/fluentd/pull/2144
2018-10-12,ashie,mozilla,report,https://bugzilla.mozilla.org/show_bug.cgi?id=1498477
2018-10-16,piroor,firefox,patch,https://bugzilla.mozilla.org/show_bug.cgi?id=1476195
2018-10-16,piroor,mozilla/addons-linter,report,https://github.com/mozilla/addons-linter/issues/2242
2018-10-19,fujimotos,fluent/fluentd-website,patch,https://github.com/fluent/fluentd-website/pull/71
2018-10-19,piroor,firefox,report,https://bugzilla.mozilla.org/show_bug.cgi?id=1500180
2018-10-22,fujimotos,fluent/fluent-bit,patch,https://github.com/fluent/fluent-bit/pull/855
2018-10-23,fujimotos,fluent/fluent-bit,patch,https://github.com/fluent/fluent-bit/pull/856
2018-10-23,fujimotos,fluent/fluent-bit,patch,https://github.com/fluent/fluent-bit/pull/857
2018-10-23,piroor,firefox,patch,https://bugzilla.mozilla.org/show_bug.cgi?id=1500180
2018-10-24,okkez,fluent/fluentd-kubernetes-daemonset,patch,https://github.com/fluent/fluentd-kubernetes-daemonset/pull/211
2018-10-25,okkez,owncloud/calendar,patch,https://github.com/owncloud/calendar/pull/961
2018-10-26,okkez,nodejs/node,patch,https://github.com/nodejs/node/pull/23895
